DateTime,StationName,Wind maximum (m/s),NO (ug/m3),NO2 (ug/m3),Temperature 2m (DegC),CO (mg/m3),Wind speed (m/s),Temperature (near ground - top of mast) (DegC),Temperature 10m (DegC),SO2 (ug/m3),PM10 (ug/m3),PMCoarse (ug/m3),Relative humidity (%),Wind direction (Deg),O3 (ug/m3),NOx (ppb),PM2.5 (ug/m3)
1/07/2018 12:00:00 a.m.,St Albans,2.416666746,,,5.287652969,0.551963091,1.635138988,-1.332736015,6.620388985,0.154571399,32.59999847,12.49999809,86.87291718,86.10080719,,,20.10000038
1/07/2018 1:00:00 a.m.,St Albans,2.483333349,,,5.351458549,0.387944579,1.663916707,-0.808569431,6.160027504,0.117770068,34.09999847,19.59999847,87.98416138,103.2021027,,,14.5
1/07/2018 2:00:00 a.m.,St Albans,2.833333254,,,5.730763912,0.231176838,1.80022192,-1.243722081,6.974485874,0.137921393,23.5,14.5,90.35319519,106.5765991,,,9
1/07/2018 3:00:00 a.m.,St Albans,3.5,,,6.294805527,0.098430701,2.191111088,-1.440430522,7.735236168,,14.69999981,11.79999924,87.61416626,91.91842651,,,2.900000095
1/07/2018 4:00:00 a.m.,St Albans,3.700000048,,,6.74877739,0.070295908,2.215638638,-1.202014089,7.950791836,0.077908367,16.29999924,12.09999943,84.40763855,,,,4.199999809
1/07/2018 5:00:00 a.m.,St Albans,3.683333397,,,6.91566658,0.060650766,2.277750015,-1.177875042,8.093541145,0.067560792,14.19999981,12.19999981,85.44472504,81.74633789,,,2
1/07/2018 6:00:00 a.m.,St Albans,4.266666889,,,7.643680573,0.027971264,2.672500134,-0.726125181,8.369805336,0.040371604,12,10.30000019,85.12611389,85.55848694,,,1.700000048
1/07/2018 7:00:00 a.m.,St Albans,4.633333206,,,7.840222359,0.034668073,2.747277498,-0.697263777,8.537486076,0.03406655,13.60000038,11.10000038,83.75096893,79.74446106,,,2.5
1/07/2018 8:00:00 a.m.,St Albans,4.650000095,,,8.349944115,0.050973423,2.667861223,-0.557639122,8.907583237,0.049231004,16.20000076,8.100000381,84.18819427,83.82029724,,,8.100000381
1/07/2018 9:00:00 a.m.,St Albans,3.983333349,,,8.74126339,0.049350753,2.472416401,-0.447944641,9.189208031,0.073473662,15.39999962,10.29999924,82.42583466,89.29399872,,,5.099999905
1/07/2018 10:00:00 a.m.,St Albans,3.299999952,,,9.431055069,0.142858922,1.901861191,-0.481805652,9.91286087,0.108966053,17.79999924,7.999999046,80.1791687,76.0567627,,,9.800000191
1/07/2018 11:00:00 a.m.,St Albans,4.616666794,,,10.49919701,0.143415257,2.439499855,-0.424110889,10.92330456,0.168177873,16.39999962,13.19999981,76.69291687,69.19090271,,,3.200000048
1/07/2018 12:00:00 p.m.,St Albans,6.550000191,,,12.45882034,0.051512312,3.647194386,-0.413472176,12.87229156,0.237340093,13.39999962,10.49999905,66.01124573,51.77320099,,,2.900000095
